"Open AI Assistant","Open AI Assistant"
Assistant,Assistant
"AI Assistant","AI Assistant"
"Chat history","Chat history"
"New conversation","New conversation"
"Backoffice Assistant","Backoffice Assistant"
"Select agent","Select agent"
Auto,Auto
"Close AI Assistant","Close AI Assistant"
"No conversations yet. Start a new one!","No conversations yet. Start a new one!"
"Attach file","Attach file"
"Ask me anything...","Ask me anything..."
"Message input","Message input"
"Send message","Send message"
Retry,Retry
Arguments,Arguments
"Show result","Show result"
"Hide result","Hide result"
"Unsupported file type: ","Unsupported file type: "
"File too large (max 5 MB): ","File too large (max 5 MB): "
"Failed to load conversations.","Failed to load conversations."
"Delete conversation","Delete conversation"
"Hello, %userName%! How can I help you today?","Hello, %userName%! How can I help you today?"
"Request failed with status ","Request failed with status "
"Request interrupted.","Request interrupted."
"Connection error. Please try again.","Connection error. Please try again."
"No response received.","No response received."
"Error: ","Error: "
"Failed to load conversation history.","Failed to load conversation history."
"Tool Result","Tool Result"
backoffice_assistant.validation.prompt_required,"Prompt is required."
backoffice_assistant.validation.user_id_required,"User is not identified."
backoffice_assistant.validation.attachment_unsupported_media_type,"One or more attachments have an unsupported file type."
backoffice_assistant.validation.attachment_file_too_large,"One or more attachments exceed the maximum allowed file size."
backoffice_assistant.validation.attachment_count_exceeded,"Too many attachments. Please reduce the number of files."
backoffice_assistant.validation.attachment_total_size_exceeded,"Total attachment size exceeds the allowed limit."
backoffice_assistant.validation.attachment_invalid_content,"One or more attachments have invalid content."
backoffice_assistant.error.disabled,"Backoffice Assistant is disabled."
backoffice_assistant.error.invalid_csrf_token,"Invalid or missing CSRF token."
backoffice_assistant.error.missing_conversation_reference,"Missing conversation reference."
backoffice_assistant.error.conversation_not_found,"Conversation not found."
backoffice_assistant.error.ai_service_unavailable,"AI service unavailable."
ai_commerce.smart_pim.ai_assistant,"AI assistant"
ai_commerce.smart_pim.please_select_option,"Please select one of the following options."
ai_commerce.smart_pim.translate_content,"Translate content"
ai_commerce.smart_pim.improve_content,"Improve content"
ai_commerce.smart_pim.try_again,"Try again"
ai_commerce.smart_pim.apply,Apply
ai_commerce.smart_pim.ai_is_processing,"AI is processing your request"
ai_commerce.smart_pim.select_target_locale,"Select a locale to translate to."
ai_commerce.smart_pim.original,Original
ai_commerce.smart_pim.suggestion,Suggestion
ai_commerce.smart_pim.translate_to,"Translate to selected locale"
"Smart CMS Content Assistant","Smart CMS Content Assistant"
"Toggle Smart CMS panel","Toggle Smart CMS panel"
"Ask AI","Ask AI"
"AI request","AI request"
"Ask AI to generate or edit the title and content…","Ask AI to generate or edit the title and content…"
"AI updated the content.","AI updated the content."
"The AI request could not be completed. Please try again.","The AI request could not be completed. Please try again."
smart_cms_content.error.disabled,"Smart CMS is not enabled."
smart_cms_content.error.invalid_csrf_token,"Invalid CSRF token."
Generating…,Generating…
"Attach files","Attach files"
"A file exceeds the allowed size and was not attached.","A file exceeds the allowed size and was not attached."
"A file type is not allowed and was not attached.","A file type is not allowed and was not attached."
"Too many files attached.","Too many files attached."
"The attachments are too large in total.","The attachments are too large in total."
"A file could not be read and was not attached.","A file could not be read and was not attached."
"Remove attachment","Remove attachment"
